Gemeinde name,Gem. lat,Gem. lng,PLZ
Murau 8850 Gemeindeamt,47.111124100000005,14.166205799999945,8850
Oberwölz 8832 Gemeindeamt,47.20386729999999,14.280965899999956,8832
Ranten 8853 Gemeindeamt,47.157679200000004,14.082357799999954,8853
Sankt Georgen am Kreischberg 8861 Gemeindeamt,47.1046057,14.099185600000055,8861
Scheifling 8811 Gemeindeamt,47.15006839999999,14.412135799999987,8811
Stadl-Predlitz 8862 Gemeindeamt,47.088507799999995,13.981634900000017,8862
Teufenbach-Katsch 8833 Gemeindeamt,47.1304229,14.359156999999984,8833
Krottendorf-Gaisfeld 8564 Gemeindeamt,47.009426500000004,15.21541830000001,8564
Ligist 8563 Gemeindeamt,46.991724600000005,15.210718400000019,8563
Rosental an der Kainach 8582 Gemeindeamt,47.05259277802331,15.120419997349133,8582
Sankt Martin am Wöllmißberg 8580 Gemeindeamt,47.010084899999995,15.104575800000019,8580
Stallhofen 8152 Gemeindeamt,47.04896697264388,15.221190463244513,8152
Voitsberg 8570 Gemeindeamt,47.049267,15.150061499999993,8570
Edelschrott 8583 Gemeindeamt,47.02198449999999,15.052295200000005,8583
Geistthal-Södingberg 8152 Gemeindeamt,47.10770972416922,15.172014803665204,8152
Hirschegg-Pack 8584 Gemeindeamt,47.019412599999995,14.958097400000042,8584
Kainach bei Voitsberg 8573 Gemeindeamt,47.13988846405185,15.093561189710956,8573
Maria Lankowitz 8591 Gemeindeamt,47.0626861,15.065586899999973,8591
Söding-Sankt Johann 8561 Gemeindeamt,46.99874029999999,15.289625300000012,8561
Fischbach 8654 Gemeindeamt,47.442057,15.652063999999996,8654
Floing 8183 Gemeindeamt,47.2490344,15.733578200000009,8183
Gasen 8616 Gemeindeamt,47.383072399999996,15.570300599999996,8616
Hofstätten an der Raab 8200 Gemeindeamt,47.0751607944813,15.746278791140867,8200
Ludersdorf-Wilfersdorf 8200 Gemeindeamt,47.1043406,15.691634799999974,8200
Mitterdorf an der Raab 8181 Gemeindeamt,47.17047233092114,15.61606917775589,8181
Mortantsch 8160 Gemeindeamt,47.212856,15.604946499999983,8160
Puch bei Weiz 8182 Gemeindeamt,47.2247169,15.725928500000007,8182
Ratten 8673 Gemeindeamt,47.48534375808103,15.722241117870569,8673
Rettenegg 8674 Gemeindeamt,47.526800200000004,15.781305699999962,8674
St. Kathrein am Hauenstein 8672 Gemeindeamt,47.4904767336521,15.692541779195606,8672
Sinabelkirchen 8261 Gemeindeamt,47.1031495,15.827015200000005,8261
Strallegg 8192 Gemeindeamt,47.4109841195269,15.724575369271633,8192
Anger 8184 Gemeindeamt,47.2739131,15.691690600000017,8184
Birkfeld 8190 Gemeindeamt,47.35362921259584,15.700303956997573,8190
Gersdorf an der Feistritz 8212 Gemeindeamt,47.162531200000004,15.854163599999993,8212
Gutenberg-Stenzengreith 8160 Gemeindeamt,47.2066256,15.563842900000054,8160
Passail 8162 Gemeindeamt,47.281447799999995,15.515141699999957,8162
Sankt Ruprecht an der Raab 8181 Gemeindeamt,47.155767299999994,15.662086300000055,8181
Fohnsdorf 8753 Gemeindeamt,47.20874970000001,14.677692699999964,8753
Gaal 8731 Gemeindeamt,47.2720693,14.688453200000026,8731
Kobenz 8723 Gemeindeamt,47.24620170000001,14.844686000000026,8723
Sankt Georgen ob Judenburg 8756 Gemeindeamt,47.2059114,14.499701100000038,8756
Seckau 8732 Gemeindeamt,47.2745711,14.785555199999974,8732
Zeltweg 8740 Gemeindeamt,47.1883934,14.751104499999995,8740
Judenburg 8750 Gemeindeamt,47.168758700000005,14.660613199999945,8750
